,Unnamed: 0,Score
0,Michael Curtiz,99.0
1,Bong Joon Ho,99.0
2,Joseph L. Mankiewicz,99.0
3,Steven Spielberg,98.0
4,Alfred Hitchcock,98.0
5,F.W. Murnau,98.0
6,Barry Jenkins,98.0
7,Lewis Milestone,98.0
8,Kathryn Bigelow,97.0
9,Woody Allen,97.0
