,Score
Sylvia Miles,89.0
John McGiver,89.0
Candice Bergen,89.0
Edward Fox,89.0
John Gielgud,86.0
Donald Sutherland,89.0
Timothy Hutton,89.0
Mary Tyler Moore,89.0
Judd Hirsch,89.0
Meryl Streep,76.0
Justin Henry,89.0
Jane Alexander,89.0
Paul Scofield,89.0
Orson Welles,89.0
Wendy Hiller,89.0
Kate Winslet,88.0
Billy Zane,88.0
Kathy Bates,88.0
Burt Lancaster,88.0
Montgomery Clift,88.0
Deborah Kerr,88.0
Frank Sinatra,88.0
Maurice Chevalier,88.0
Louis Jourdan,88.0
Hermione Gingold,88.0
Kevin Spacey,87.0
Annette Bening,87.0
Thora Birch,87.0
Wes Bentley,87.0
Kevin Costner,87.0
Mary McDonnell,87.0
Graham Greene,87.0
Rodney A. Grant,87.0
John Lone,86.0
Joan Chen,86.0
Ying Ruocheng,86.0
Catherine Zeta-Jones,86.0
Renée Zellweger,86.0
Richard Gere,86.0
Queen Latifah,86.0
Christopher Walken,86.0
John Savage,86.0
John Cazale,86.0
Juliette Binoche,86.0
Kristin Scott Thomas,86.0
Greta Garbo,87.0
Joan Crawford,87.0
John Barrymore,87.0
Wallace Beery,87.0
Charlton Heston,67.5
Stephen Boyd,85.0
Haya Harareet,85.0
Jessica Tandy,85.0
Dan Aykroyd,85.0
Patti LuPone,85.0
Julie Andrews,83.0
Christopher Plummer,83.0
Eleanor Parker,83.0
Richard Haydn,83.0
Ben Cross,83.0
Ian Charleson,83.0
Nigel Havers,83.0
Gregory Peck,82.0
Dorothy McGuire,82.0
John Garfield,82.0
Debra Winger,82.0
Jeff Daniels,82.0
Albert Finney,81.0
Susannah York,81.0
Hugh Griffith,81.0
Edith Evans,81.0
Russell Crowe,77.0
Joaquin Phoenix,80.0
Connie Nielsen,80.0
Linda Cardellini,77.0
Sebastian Maniscalco,77.0
Mel Gibson,76.0
Sophie Marceau,76.0
Patrick McGoohan,76.0
Catherine McCormack,76.0
Sandra Bullock,74.0
Don Cheadle,74.0
Matt Dillon,74.0
Jennifer Esposito,74.0
Ed Harris,74.0
Jennifer Connelly,74.0
Paul Bettany,74.0
Bing Crosby,83.0
Barry Fitzgerald,83.0
Rise Stevens,83.0
Gene Lockhart,83.0
William Powell,72.0
Luise Rainer,72.0
Frank Morgan,72.0
Tom Hanks,71.0
Robin Wright,71.0
Gary Sinise,71.0
Mykelti Williamson,71.0
David Niven,72.0
Mario Moreno 'Cantinflas',72.0
Robert Newton,72.0
Diana Wynyard,65.0
Clive Brook,65.0
Una O'Connor,65.0
Klaus Maria Brandauer,63.0
Michael Kitchen,63.0
Richard Dix,52.0
Irene Dunne,52.0
Estelle Taylor,52.0
Nance O'Neil,52.0
Betty Hutton,50.0
Cornel Wilde,50.0
Dorothy Lamour,50.0
Bessie Love,40.0
Anita Page,40.0
Charles King,40.0
Jed Prouty,40.0
